time,v
2.930000000000000000e+02,-8.706900787353515625e+01
2.940000000000000000e+02,-8.707704162597656250e+01
2.950000000000000000e+02,-8.708493804931640625e+01
2.960000000000000000e+02,-8.709257507324218750e+01
2.970000000000000000e+02,-8.709997558593750000e+01
2.980000000000000000e+02,-8.710723114013671875e+01
2.990000000000000000e+02,-8.711435699462890625e+01
3.000000000000000000e+02,-8.712127685546875000e+01
3.010000000000000000e+02,-8.712796783447265625e+01
3.020000000000000000e+02,-8.713451385498046875e+01
3.030000000000000000e+02,-8.714094543457031250e+01
3.040000000000000000e+02,-8.714725494384765625e+01
3.050000000000000000e+02,-8.715338897705078125e+01
3.060000000000000000e+02,-8.715931701660156250e+01
3.070000000000000000e+02,-8.716512298583984375e+01
3.080000000000000000e+02,-8.717081451416015625e+01
3.090000000000000000e+02,-8.717639160156250000e+01
3.100000000000000000e+02,-8.718185424804687500e+01
3.110000000000000000e+02,-8.718717956542968750e+01
3.120000000000000000e+02,-8.719236755371093750e+01
3.130000000000000000e+02,-8.719743347167968750e+01
3.140000000000000000e+02,-8.720238494873046875e+01
3.150000000000000000e+02,-8.720722961425781250e+01
3.160000000000000000e+02,-8.721195983886718750e+01
3.170000000000000000e+02,-8.721659088134765625e+01
3.180000000000000000e+02,-8.722116851806640625e+01
3.190000000000000000e+02,-8.722566986083984375e+01
3.200000000000000000e+02,-8.723004150390625000e+01
3.210000000000000000e+02,-8.723429107666015625e+01
3.220000000000000000e+02,-8.723843383789062500e+01
3.230000000000000000e+02,-8.724246978759765625e+01
3.240000000000000000e+02,-8.724641418457031250e+01
3.250000000000000000e+02,-8.725027465820312500e+01
3.260000000000000000e+02,-8.725408935546875000e+01
3.270000000000000000e+02,-8.725790405273437500e+01
3.280000000000000000e+02,-8.726171875000000000e+01
3.290000000000000000e+02,-8.726539611816406250e+01
3.300000000000000000e+02,-8.726894378662109375e+01
3.310000000000000000e+02,-8.727237701416015625e+01
3.320000000000000000e+02,-8.727571105957031250e+01
3.330000000000000000e+02,-8.727896881103515625e+01
3.340000000000000000e+02,-8.728215026855468750e+01
3.350000000000000000e+02,-8.728525543212890625e+01
3.360000000000000000e+02,-8.728830718994140625e+01
3.370000000000000000e+02,-8.729135894775390625e+01
3.380000000000000000e+02,-8.729441070556640625e+01
3.390000000000000000e+02,-8.729746246337890625e+01
3.400000000000000000e+02,-8.730051422119140625e+01
3.410000000000000000e+02,-8.730356597900390625e+01
3.420000000000000000e+02,-8.730643463134765625e+01
3.430000000000000000e+02,-8.730917358398437500e+01
3.440000000000000000e+02,-8.731181335449218750e+01
3.450000000000000000e+02,-8.731437683105468750e+01
3.460000000000000000e+02,-8.731687164306640625e+01
3.470000000000000000e+02,-8.731931304931640625e+01
3.480000000000000000e+02,-8.732170104980468750e+01
3.490000000000000000e+02,-8.732405090332031250e+01
3.500000000000000000e+02,-8.732635498046875000e+01
3.510000000000000000e+02,-8.732864379882812500e+01
3.520000000000000000e+02,-8.733093261718750000e+01
3.530000000000000000e+02,-8.733322143554687500e+01
3.540000000000000000e+02,-8.733551025390625000e+01
3.550000000000000000e+02,-8.733779907226562500e+01
3.560000000000000000e+02,-8.734008789062500000e+01
3.570000000000000000e+02,-8.734237670898437500e+01
3.580000000000000000e+02,-8.734466552734375000e+01
3.590000000000000000e+02,-8.734695434570312500e+01
3.600000000000000000e+02,-8.734906768798828125e+01
3.610000000000000000e+02,-8.735102844238281250e+01
3.620000000000000000e+02,-8.735291290283203125e+01
3.630000000000000000e+02,-8.735473632812500000e+01
3.640000000000000000e+02,-8.735652160644531250e+01
3.650000000000000000e+02,-8.735827636718750000e+01
3.660000000000000000e+02,-8.736000061035156250e+01
3.670000000000000000e+02,-8.736169433593750000e+01
3.680000000000000000e+02,-8.736335754394531250e+01
3.690000000000000000e+02,-8.736499786376953125e+01
3.700000000000000000e+02,-8.736661529541015625e+01
3.710000000000000000e+02,-8.736820220947265625e+01
3.720000000000000000e+02,-8.736976623535156250e+01
3.730000000000000000e+02,-8.737130737304687500e+01
3.740000000000000000e+02,-8.737283325195312500e+01
3.750000000000000000e+02,-8.737435913085937500e+01
3.760000000000000000e+02,-8.737588500976562500e+01
3.770000000000000000e+02,-8.737741088867187500e+01
3.780000000000000000e+02,-8.737893676757812500e+01
3.790000000000000000e+02,-8.738046264648437500e+01
3.800000000000000000e+02,-8.738198852539062500e+01
3.810000000000000000e+02,-8.738351440429687500e+01
3.820000000000000000e+02,-8.738504028320312500e+01
3.830000000000000000e+02,-8.738656616210937500e+01
3.840000000000000000e+02,-8.738809204101562500e+01
3.850000000000000000e+02,-8.738961791992187500e+01
3.860000000000000000e+02,-8.739114379882812500e+01
3.870000000000000000e+02,-8.739266967773437500e+01
3.880000000000000000e+02,-8.739419555664062500e+01
3.890000000000000000e+02,-8.739549255371093750e+01
3.900000000000000000e+02,-8.739666748046875000e+01
3.910000000000000000e+02,-8.739781951904296875e+01
3.920000000000000000e+02,-8.739895629882812500e+01
3.930000000000000000e+02,-8.740007019042968750e+01
3.940000000000000000e+02,-8.740116882324218750e+01
3.950000000000000000e+02,-8.740225219726562500e+01
3.960000000000000000e+02,-8.740332031250000000e+01
3.970000000000000000e+02,-8.740437316894531250e+01
3.980000000000000000e+02,-8.740541076660156250e+01
3.990000000000000000e+02,-8.740643310546875000e+01
4.000000000000000000e+02,-8.740744781494140625e+01
4.010000000000000000e+02,-8.740843963623046875e+01
4.020000000000000000e+02,-8.740942382812500000e+01
4.030000000000000000e+02,-8.741039276123046875e+01
4.040000000000000000e+02,-8.741134643554687500e+01
4.050000000000000000e+02,-8.741228485107421875e+01
4.060000000000000000e+02,-8.741321563720703125e+01
4.070000000000000000e+02,-8.741413116455078125e+01
4.080000000000000000e+02,-8.741503906250000000e+01
4.090000000000000000e+02,-8.741593170166015625e+01
4.100000000000000000e+02,-8.741680908203125000e+01
4.110000000000000000e+02,-8.741767883300781250e+01
4.120000000000000000e+02,-8.741853332519531250e+01
4.130000000000000000e+02,-8.741938018798828125e+01
4.140000000000000000e+02,-8.742021179199218750e+01
4.150000000000000000e+02,-8.742103576660156250e+01
4.160000000000000000e+02,-8.742184448242187500e+01
4.170000000000000000e+02,-8.742264556884765625e+01
