time,ci
3.240000000000000000e+02,1.319236010313034058e-01
3.250000000000000000e+02,1.316663920879364014e-01
3.260000000000000000e+02,1.314152181148529053e-01
3.270000000000000000e+02,1.311700940132141113e-01
3.280000000000000000e+02,1.309306323528289795e-01
3.290000000000000000e+02,1.306966990232467651e-01
3.300000000000000000e+02,1.304680109024047852e-01
3.310000000000000000e+02,1.302444040775299072e-01
3.320000000000000000e+02,1.300260126590728760e-01
3.330000000000000000e+02,1.298126280307769775e-01
3.340000000000000000e+02,1.296042501926422119e-01
3.350000000000000000e+02,1.294006705284118652e-01
3.360000000000000000e+02,1.292017996311187744e-01
3.370000000000000000e+02,1.290074735879898071e-01
3.380000000000000000e+02,1.288176178932189941e-01
3.390000000000000000e+02,1.286321133375167847e-01
3.400000000000000000e+02,1.284508109092712402e-01
3.410000000000000000e+02,1.282736361026763916e-01
3.420000000000000000e+02,1.281005442142486572e-01
3.430000000000000000e+02,1.279313266277313232e-01
3.440000000000000000e+02,1.277659535408020020e-01
3.450000000000000000e+02,1.276042908430099487e-01
3.460000000000000000e+02,1.274463236331939697e-01
3.470000000000000000e+02,1.272917836904525757e-01
3.480000000000000000e+02,1.271407753229141235e-01
3.490000000000000000e+02,1.269931048154830933e-01
3.500000000000000000e+02,1.268487274646759033e-01
3.510000000000000000e+02,1.267075538635253906e-01
3.520000000000000000e+02,1.265695095062255859e-01
3.530000000000000000e+02,1.264345496892929077e-01
3.540000000000000000e+02,1.263026148080825806e-01
3.550000000000000000e+02,1.261736005544662476e-01
3.560000000000000000e+02,1.260474324226379395e-01
3.570000000000000000e+02,1.259240061044692993e-01
3.580000000000000000e+02,1.258032768964767456e-01
3.590000000000000000e+02,1.256851553916931152e-01
3.600000000000000000e+02,1.255696415901184082e-01
3.610000000000000000e+02,1.254567205905914307e-01
3.620000000000000000e+02,1.253461837768554688e-01
3.630000000000000000e+02,1.252381056547164917e-01
3.640000000000000000e+02,1.251323074102401733e-01
3.650000000000000000e+02,1.250287443399429321e-01
3.660000000000000000e+02,1.249273270368576050e-01
3.670000000000000000e+02,1.248281076550483704e-01
3.680000000000000000e+02,1.247309818863868713e-01
3.690000000000000000e+02,1.246359050273895264e-01
3.700000000000000000e+02,1.245428249239921570e-01
3.710000000000000000e+02,1.244517117738723755e-01
3.720000000000000000e+02,1.243625059723854065e-01
3.730000000000000000e+02,1.242752745747566223e-01
3.740000000000000000e+02,1.241898462176322937e-01
3.750000000000000000e+02,1.241062059998512268e-01
