time,ILCC
5.600000000000000000e+02,0.000000000000000000e+00
5.610000000000000000e+02,0.000000000000000000e+00
5.620000000000000000e+02,0.000000000000000000e+00
5.630000000000000000e+02,0.000000000000000000e+00
5.640000000000000000e+02,0.000000000000000000e+00
5.650000000000000000e+02,0.000000000000000000e+00
5.660000000000000000e+02,0.000000000000000000e+00
5.670000000000000000e+02,0.000000000000000000e+00
5.680000000000000000e+02,0.000000000000000000e+00
5.690000000000000000e+02,0.000000000000000000e+00
5.700000000000000000e+02,0.000000000000000000e+00
5.710000000000000000e+02,0.000000000000000000e+00
5.720000000000000000e+02,0.000000000000000000e+00
5.730000000000000000e+02,0.000000000000000000e+00
5.740000000000000000e+02,0.000000000000000000e+00
5.750000000000000000e+02,0.000000000000000000e+00
